Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to affordable housing,Percentage of eligible households receiving federal rental assistance,Receipt of federal rental assistance,Not Found,N/A,,,,,Semi-Automated,Partially Available,"U.S. Department of Housing and Urban Development publishes data on Subsidized Households including numbers of subsidized housing units, the number of occupied units, and demographic information about the people who occupy them.",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to technology,Percentage of individuals who have both (1) access to at least one desktop or laptop computer owned by someone in the home and (2) reliable broadband Internet,Indicator of access to desktop or laptop at home,Found for K12,studentEducationOrganizationAssociation.PrimaryLearningDeviceAwayFromSchoolDescriptor,,,,,Automated,Available,"Data available from the U.S. Census Bureau, American Community Survey (ACS) and the Current Population Survey (CPS). (Example linked here)",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to technology,Percentage of individuals who have both (1) access to at least one desktop or laptop computer owned by someone in the home and (2) reliable broadband Internet,Indicator of access to reliable broadband internet,Found for K12,"studentEducationOrganizationAssociation.InternetAccessInResidence, studentEducationOrganizationAssociation.InternetPerformanceInResidenceDescriptor",,,,,Automated,Available,"Data available from the U.S. Census Bureau, American Community Survey (ACS) and the Current Population Survey (CPS). (Example linked here)",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to transportation,"Average commute time to work, school, or college",Commute time,Not Found,N/A,,,,,Automated,Available,Data available from the U.S. Census Bureau's American Community Survey (ACS).,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to transportation,"Low Transportation Cost Index, from the U.S. Department of Housing and Urban Development","Low Transportation Cost Index, from the U.S. Department of Housing and Urban Development",Not Found,N/A,,,,,Automated,Available,"Data available from the U.S. Department of Housing and Urban Development""s Low Transportation Cost Index, which derives from the Department's Location Affordability Index (LAI) data. The LAI data are currently based on analysis of the 2012-16 Amerian Community Survey data from the U.S. Census Bureau",Established,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Exposure to neighborhood crime,"Rate of violent felonies and property felonies by city or county (number of incidents per 100,000 residents)",City or county population,Not Found,N/A,,,,,Automated,Available,"The U.S. Census Bureau publishes population estimates at the national, state and local levels.",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Exposure to neighborhood crime,"Rate of violent felonies and property felonies by city or county (number of incidents per 100,000 residents)",Number of violent felonies in city or county,Not Found,N/A,,,,,Automated,Available,"Inferred. Alabama bases its reports on the FBI's National Incident-Based Reporting System, as part of the FBI's Uniform Crime Reporting Program (linked here).",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Exposure to neighborhood crime,"Rate of violent felonies and property felonies by city or county (number of incidents per 100,000 residents)",Number of property felonies in city or county,Not Found,N/A,,,,,Automated,Available,"Inferred. Alabama bases its reports on the FBI's National Incident-Based Reporting System, as part of the FBI's Uniform Crime Reporting Program (linked here).",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Neighborhood economic diversity,Percentage of city or county residents experiencing poverty who live in a high-poverty neighborhood (defined as a neighborhood in which more than 40 percent of residents experience poverty),Number of city or county residents experiencing poverty,Not Found,N/A,,,,,Automated,Available,This information is collected by the U.S. Census Bureau.,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Neighborhood economic diversity,Percentage of city or county residents experiencing poverty who live in a high-poverty neighborhood (defined as a neighborhood in which more than 40 percent of residents experience poverty),Number of city or county residents living in a high poverty neighborhood,Not Found,N/A,,,,,Automated,Available,This information is collected by the U.S. Census Bureau. Census makes it possible to identify 40% poverty neighborhoods through its Small Area Income and Poverty Estimates (SAIPE--linked here),,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Neighborhood racial diversity,"Percentage of an individual’s neighbors who are members of other racial or ethnic groups, calculated as a Neighborhood Exposure Index",Race/ethnicity,Not Found,N/A,,,,,Automated,Available,The National Insitute of Health collects data on race/ethnicity throughout its census and survey data collections.,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Neighborhood racial diversity,"Percentage of an individual’s neighbors who are members of other racial or ethnic groups, calculated as a Neighborhood Exposure Index","Geographical indicator (e.g., census tract, city, county)",Not Found,N/A,,,,,Automated,Available,The U.S. Census Bureau collects data by geography,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Neighborhood juvenile arrests,"Rate of juvenile arrests by city or county (number of arrests per 100,000 residents",City or county population,Not Found,N/A,,,,,Automated,Available,"The U.S. Census Bureau publishes population estimates at the national, state and local levels.",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Neighborhood juvenile arrests,"Rate of juvenile arrests by city or county (number of arrests per 100,000 residents",Number of juvenile arrests in city or county,Not Found,N/A,,,,,Automated,Available,"Crime.Alabama.gov includes number of juvenile arrests by type, state, and county.",,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Childhood experiences,Percentage of individuals with fewer than three ACEs,Number of ACEs,Not Found,N/A,,,,"National Survey of Children's Health, conducted by the United States Health Resources and Services Administration, Maternal and Child Health Bureau (linked here). Includes questions about ACEs.",Semi-Automated,Partially Available,"Alabama residents were last surveyed about ACEs in 2021 thrugh the Center of Disease Control's Behavioral Risk Factor Surveillance System (BRFSS). As of summer 2025, it is unclear whether there will be future BRFSS surveys. In addition, the National Survey of Children's Health, conducted annually by the United States Health Resources and Services Administration, Maternal and Child Health Bureau (https://www.childhealthdata.org/browse/survey) includes questions about ACEs and produces state-level results for children ages 17 and under.",,,,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,Outcomes & Milestones,PK,Enrollment in quality public pre-K,Percentage of eligible 3- and 4-year-olds enrolled in public pre-K,Age (or birth date),Likely not available,Student.BirthData.BirthDate,Found,DimPeople.BirthDate,DimPeople.BirthDate,KIDS COUNT Data Center,Automated,Available,Must be cross referenced with grade level,Low-Hanging Fruit,"select
        'Number of Students (Grade PK)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
       join RDS.DimPeople p on p.DimPersonId = f.K12StudentId
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('PK') and p.IsActiveELChild=1","select
        'Number of Students (Grade PK)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
       join RDS.DimPeople_Current p on p.DimPersonId = f.K12StudentId
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('PK') and p.IsActiveELChild=1",,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,Outcomes & Milestones,PK,Enrollment in quality public pre-K,Percentage of eligible 3- and 4-year-olds enrolled in public pre-K,Pre-K eligbility status,Not Found,N/A,Not found,N/A,N/A,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,Outcomes & Milestones,PK,Enrollment in quality public pre-K,Percentage of eligible 3- and 4-year-olds enrolled in public pre-K,Enrollment in public pre-K,Likely not available,"Student.StudentUSI
StudentSchoolAssociation.Student
StudentSchoolAssociation.School
StudentSchoolAssociation.EntryDate
StudentSchoolAssociation.GradeLevelDescriptorId",Not Found,N/A,N/A,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of public pre-K programs that meet Quality Rating and Improvement Systems (QRIS) state benchmarks of quality,Pre-K program QRIS rating,Not Found,N/A,Not Found,N/A,N/A,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of public pre-K programs that are six hours per day for five days per week,Pre-K program hours per day,Partial,"GeneralStudentProgramAssociation.Program.ProgramType = 'Prekindergarten - Half Day' or 'Prekindergarten - Full Day', GeneralStudentProgramAssociation.EducationOrganizationId ",,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of public pre-K programs that are six hours per day for five days per week,Pre-K program days per week,Not Found,N/A,,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of eligible families receiving assistance to pay for child care through subsidies,Family eligibility for child care subsidies,Not Found,N/A,,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of eligible families receiving assistance to pay for child care through subsidies,Receipt of child care subsidies,Not Found,N/A,,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children with identified concerns who are connected to services,Early intervention screening results,Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children with identified concerns who are connected to services,Early intervention screening outcomes (connection to services),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children with identified concerns who are connected to services,Indicator of whether services were provided,Likely not available,"StudentSpecialEducationProgramAssociationSpecialEducationProgramService.SpecialEducationProgramServiceDescriptor, StudentSpecialEducationProgramAssociationSpecialEducationProgramService.ServiceBeginDate",,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children needing selected special education services in kindergarten who were not identified and connected to services before kindergarten,Early intervention screening results,Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children needing selected special education services in kindergarten who were not identified and connected to services before kindergarten,Early intervention screening outcomes (connection to services),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children needing selected special education services in kindergarten who were not identified and connected to services before kindergarten,Date of services provided,Likely not available,StudentSpecialEducationProgramAssociation.BeginDate,,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"2. Are eligible children enrolled in quality, full-day pre-K programs?",Academic Progress & Completion,E-W System Conditions,PK,Enrollment in quality public pre-K,Percentage of children needing selected special education services in kindergarten who were not identified and connected to services before kindergarten,Kindergarten enrollment date,Likely not available,StudentSchoolAssociation.EntryDate,,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: language and literacy,"Percentage of children meeting benchmarks on a teacher-reported kindergarten readiness assessment, such as:
o        Desired Results Developmental Profile ([DRDP)] Language and Literacy Development domain 
o        Ready 4 Kindergarten Early Learning Assessment ([R4K ELA)] Language and Literacy domain 
o        Teaching Strategies GOLD ([TS GOLD)] Language and Literacy subscales",Results on teacher-reported kindergarten readiness assessment (language and literacy),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,"FactK12StudentAssessments.AssessmentId, DimAssessments.AssessmentShortName","FactK12StudentAssessments.AssessmentId, DimAssessments.AssessmentShortName",State Dept. of Early Childhood,Automated,Available,"Common assessments include DRDP, R4K ELA, TS GOLD",Established,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: language and literacy,"Percentage of children meeting benchmarks on direct child assessments administered by trained assessors, such as: 
o        Woodcock-Johnson IV Tests of Early Cognition and Academic Development ([ECAD)] Letter-Word and Writing subtests 
o         Individual Growth and Development Indicators ([IGDIs)] Early Literacy assessment",Results on direct child assessment (language and literacy),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,"FactK12StudentAssessments.AssessmentId, DimAssessmentSubtests.AssessmentEarlyLearningDevelopmentalDomain","FactK12StudentAssessments.AssessmentId, DimAssessmentSubtests.AssessmentEarlyLearningDevelopmentalDomain",State Dept. of Early Childhood,Hybrid,Partially Available,Often assessed through teacher observation,Challenge,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: cognition,"Percentage of children meeting benchmarks on teacher-reported kindergarten readiness assessment, such as: 
o	Desired Results Developmental Profile [DRDP ] Cognition domain 
o	Ready 4 Kindergarten Early Learning Assessment [R4K ELA] Mathematics and Science domains 
o	Teaching Strategies GOLD [TS GOLD] Cognitive and Mathematics subscales",Results on kindergarten readiness assessment (cognition),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,"FactK12StudentAssessments.AssessmentId, DimAssessments.AssessmentShortName","FactK12StudentAssessments.AssessmentId, DimAssessments.AssessmentShortName",State Dept. of Early Childhood,Automated,Available,"Common assessments include DRDP, R4K ELA, TS GOLD",Established,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: cognition,"Percentage of children meeting benchmarks on direct child assessments, such as:
o	Woodcock-Johnson IV Tests of Early Cognition and Academic Development [ECAD] Number Sense subtest 
o	Individual Growth and Development Indicators [IGDIs] Early Numeracy assessment 
o	Research Based Early Mathematics Assessment ([REMA)]",Results on direct child assessment (cognition),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,"FactK12StudentAssessments.AssessmentId, DimAssessmentSubtests.AssessmentEarlyLearningDevelopmentalDomain","FactK12StudentAssessments.AssessmentId, DimAssessmentSubtests.AssessmentEarlyLearningDevelopmentalDomain",State Dept. of Early Childhood,Hybrid,Partially Available,Often assessed through teacher observation,Challenge,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: social-emotional development,"Percentage of students meeting benchmarks on teacher-reported kindergarten readiness assessment, such as the following:
o The DRDP Social and Emotional Development domain
o R4K ELA Social Foundations domain
o TS GOLD Social-Emotional subscale",Results on teacher-reported kindergarten readiness assessment (social-emotional development),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: social-emotional development,"Percentage of students meeting benchmarks on teacher reports, such as the following:
o The Child Behavior Rating Scale (CBRS) 
o Devereaux Early Childhood Assessment Preschool Program (DECA-P2)",Results on teacher reports of social-emotional development,Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: approaches to learning,"Percentage of students meeting benchmarks on teacher-reported kindergarten readiness assessment, such as the following:
o	The DRDP Approaches to Learning – Self-Regulation domain  
o	TS GOLD Cognitive subscale",Results on teacher-reported kindergarten readiness assessment (self-regulation; approaches to learning; executive function),Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: approaches to learning,"Percentage of students meeting benchmarks on teacher reports of children's executive function, such as the CBRS",Results on teacher reports of executive function,Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,Outcomes & Milestones,PK,Kindergarten readiness: approaches to learning,"Percentage of students meeting benchmarks on a direct child assessment  such as the following: 
o	The Heads Toes Knees Shoulders (HTKS) task, administered by teachers  
o	The Minnesota Executive Function Scale (MEFS), self-administered on a tablet",Results on direct child assessments of executive function,Likely not available,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,PK,School-family engagement,"Percentage of families and percentage of teachers or caregivers reporting positive relationship quality with one another, using a tool such as the Family and Provider/Teacher Relationship Quality (FPTRQ) parent survey",Results on family engagement surveys (Pre-K),Likely not available,"SurveyQuestionResponse.SurveyResponse.Person, SurveyQuestionResponse.SurveyQuestionResponseValue",,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,School-family engagement,"Mean scores on family surveys, such as the Panorama Family-School Relationships Survey  or CORE Districts School Culture & Climate Survey parent assessment of school-community engagement",Results on family engagement surveys (K-12),Likely not available,"SurveyQuestionResponse.SurveyResponse.Person, SurveyQuestionResponse.SurveyQuestionResponseValue",Not Found,N/A,N/A,,Manual,Not Available,,,CEDS DWH does not contain elements related to Survey,CEDS DWH does not contain elements related to Survey,,,,,,,
