Original Data Element Name,Data Category,Updated Category,Normalized Data Element,Potential Further Normalization,Grade or Sector Variant,Roll up to Sector?,Additional Notes (Optional),(final logical name (no sector)),Proposed final
Results on teacher reports of social-emotional development,Academic Assessment and Performance,Kindergarten Readiness,Teacher reports of social-emotional development,,PK,PK,,Teacher reports of social-emotional development,Teacher reports of social-emotional development
Results on teacher reports of social-emotional development (PK),Academic Assessment and Performance,Kindergarten Readiness,Teacher reports of social-emotional development,,PK,PK,,Teacher reports of social-emotional development,Teacher reports of social-emotional development
Results on teacher-reported kindergarten readiness assessment (language and literacy),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (language and literacy),,PK,PK,Teacher-reported kindergarten readiness assessments (language and literacy),Reported kindergarten readiness (language and literacy),Reported kindergarten readiness (language and literacy)
Results on teacher-reported kindergarten readiness assessment (language and literacy) (PK),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (language and literacy),,PK,PK,Teacher-reported kindergarten readiness assessments (language and literacy),Reported kindergarten readiness (language and literacy),Reported kindergarten readiness (language and literacy)
Results on teacher-reported kindergarten readiness assessment (physical development),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (physical development),,PK,PK,Teacher-reported kindergarten readiness assessments (physical development),Reported kindergarten readiness (physical development),Reported kindergarten readiness (physical development)
Results on teacher-reported kindergarten readiness assessment (physical development) (PK),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (physical development),,PK,PK,Teacher-reported kindergarten readiness assessments (physical development),Reported kindergarten readiness (physical development),Reported kindergarten readiness (physical development)
Results on teacher-reported kindergarten readiness assessment (self-regulation; approaches to learning; executive function),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (behavioral skills),,PK,PK,Teacher-reported kindergarten readiness assessments (self-regulation; approaches to learning; executive function),Reported kindergarten readiness (behavioral skills),Reported kindergarten readiness (behavioral skills)
Results on teacher-reported kindergarten readiness assessment (self-regulation; approaches to learning; executive function) (PK),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (behavioral skills),,PK,PK,Teacher-reported kindergarten readiness assessments (self-regulation; approaches to learning; executive function),Reported kindergarten readiness (behavioral skills),Reported kindergarten readiness (behavioral skills)
Results on teacher-reported kindergarten readiness assessment (social-emotional development),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (social-emotional skills),,PK,PK,Teacher-reported kindergarten readiness assessments (social-emotional development),Reported kindergarten readiness (social-emotional skills),Reported kindergarten readiness (social-emotional skills)
Results on teacher-reported kindergarten readiness assessment (social-emotional development) (PK),Academic Assessment and Performance,Kindergarten Readiness,Reported kindergarten readiness (social-emotional skills),,PK,PK,Teacher-reported kindergarten readiness assessments (social-emotional development),Reported kindergarten readiness (social-emotional skills),Reported kindergarten readiness (social-emotional skills)
SAT completion,Academic Assessment and Performance,Postsecondary Transitions,SAT completion,,General,,,SAT completion,SAT completion
SAT score,Academic Assessment and Performance,Postsecondary Transitions,SAT score,,General,,,SAT score,SAT score
"SGP for standardized assessments (subject specific for reading/literacy, math, and science)",Academic Assessment and Performance,Postsecondary Transitions,SGP for standardized assessments,,General,,Subject specific for reading/literacy; math; and science,SGP for standardized assessments,SGP for standardized assessments
Social proficiency performance assessment results (Postsecondary),Academic Assessment and Performance,Postsecondary Success,Social proficiency performance assessments,,Postsecondary,Postsecondary,,Social proficiency performance assessments,Social proficiency performance assessments (Postsecondary)
Social proficiency performance assessment results (Workforce),Academic Assessment and Performance,Workforce Success,Social proficiency performance assessments,,Workforce,Workforce,,Social proficiency performance assessments,Social proficiency performance assessments (Workforce)
VAM for subject specific assessment,Academic Assessment and Performance,Teaching Effectiveness,VAM for subject specific assessment,,General,,,VAM for subject specific assessment,VAM for subject specific assessment
Attendance intensity,Attendance and Engagement,School Climate,Student attendance rate,,General,PK,,Student attendance rate,Student attendance rate (PK)
Student attendance rate,Attendance and Engagement,School Climate,Student attendance rate,,General,PK,,Student attendance rate,Student attendance rate (PK)
Student attendance rate (Grade 1 & 2),Attendance and Engagement,School Climate,Student attendance rate,,Grades 1-2,K-12,,Student attendance rate,Student attendance rate (K-12)
Student attendance rate (Grade 6),Attendance and Engagement,School Climate,Student attendance rate,,Grade 6,K-12,,Student attendance rate,Student attendance rate (K-12)
Student attendance rate (Grade 8),Attendance and Engagement,School Climate,Student attendance rate,,Grade 8,K-12,,Student attendance rate,Student attendance rate (K-12)
Student attendance rate (Grade 9),Attendance and Engagement,School Climate,Student attendance rate,,Grade 9,K-12,,Student attendance rate,Student attendance rate (K-12)
Student attendance rate (Grades 1 & 2),Attendance and Engagement,School Climate,Student attendance rate,,Grades 1-2,K-12,,Student attendance rate,Student attendance rate (K-12)
Disciplinary use of restraint and seclusion,Behavior and Discipline,School Climate,Restraint and seclusion for discipline,,General,K-12,,Restraint and seclusion for discipline,Restraint and seclusion for discipline (K-12)
Disciplinary use of restraint and seclusion (K12),Behavior and Discipline,School Climate,Restraint and seclusion for discipline,,K-12,K-12,,Restraint and seclusion for discipline,Restraint and seclusion for discipline (K-12)
Disciplinary use of restraint and seclusion (PK),Behavior and Discipline,School Climate,Restraint and seclusion for discipline,,PK,PK,,Restraint and seclusion for discipline,Restraint and seclusion for discipline (PK)
Expulsion,Behavior and Discipline,School Climate,Suspensions and expulsions,,General,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Expulsion (PK),Behavior and Discipline,School Climate,Suspensions and expulsions,,PK,PK,,Suspensions and expulsions,Suspensions and expulsions (PK)
Expulsions,Behavior and Discipline,School Climate,Suspensions and expulsions,,General,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Expulsions (Grade 6),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grade 6,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Expulsions (Grade 8),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grade 8,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Expulsions (K12),Behavior and Discipline,School Climate,Suspensions and expulsions,,K-12,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Expulsions (PK),Behavior and Discipline,School Climate,Suspensions and expulsions,,PK,PK,,Suspensions and expulsions,Suspensions and expulsions (PK)
In school suspension,Behavior and Discipline,School Climate,Suspensions and expulsions,,General,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
In school suspension (Grade 1 & 2),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grades 1-2,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
In school suspension (K12),Behavior and Discipline,School Climate,Suspensions and expulsions,,K-12,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
In school suspension (PK),Behavior and Discipline,School Climate,Suspensions and expulsions,,PK,PK,,Suspensions and expulsions,Suspensions and expulsions (PK)
In school suspension (Grades 1 & 2),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grades 1-2,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Number of days suspended,Behavior and Discipline,School Climate,Number of days suspended,,General,K-12,,Number of days suspended,Number of days suspended (K-12)
Number of days suspended (PK),Behavior and Discipline,School Climate,Number of days suspended,,PK,PK,,Number of days suspended,Number of days suspended (PK)
Office referrals,Behavior and Discipline,School Climate,Office referrals,,General,K-12,,Office referrals,Office referrals (K-12)
Office referrals (PK),Behavior and Discipline,School Climate,Office referrals,,PK,PK,,Office referrals,Office referrals (PK)
Out of school suspension,Behavior and Discipline,School Climate,Suspensions and expulsions,,General,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Out of school suspension (K12),Behavior and Discipline,School Climate,Suspensions and expulsions,,K-12,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Out of school suspension (PK),Behavior and Discipline,School Climate,Suspensions and expulsions,,PK,PK,,Suspensions and expulsions,Suspensions and expulsions (PK)
Out of school suspension (Grades 1 & 2),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grades 1-2,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Restraint,Behavior and Discipline,School Climate,Restraint and seclusion for safety,,General,K-12,,Restraint and seclusion for safety,Restraint and seclusion for safety (K-12)
Restraint (PK),Behavior and Discipline,School Climate,Restraint and seclusion for safety,,PK,PK,,Restraint and seclusion for safety,Restraint and seclusion for safety (PK)
Seclusion,Behavior and Discipline,School Climate,Restraint and seclusion for safety,,General,K-12,,Restraint and seclusion for safety,Restraint and seclusion for safety (K-12)
Seclusion (PK),Behavior and Discipline,School Climate,Restraint and seclusion for safety,,PK,PK,,Restraint and seclusion for safety,Restraint and seclusion for safety (PK)
Suspension (Grade 6),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grade 6,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Suspension (Grade 8),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grade 8,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Suspension (Grade 9),Behavior and Discipline,School Climate,Suspensions and expulsions,,Grade 9,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Suspensions,Behavior and Discipline,School Climate,Suspensions and expulsions,,General,K-12,,Suspensions and expulsions,Suspensions and expulsions (K-12)
Suspensions (PK),Behavior and Discipline,School Climate,Suspensions and expulsions,,PK,PK,,Suspensions and expulsions,Suspensions and expulsions (PK)
City or county population,Community and Environmental Conditions,School Climate,City or county population,,General,,,City or county population,City or county population
Commute time,Community and Environmental Conditions,Workforce Transitions,Commute time,,General,,,Commute time,Commute time
"Geographical indicator (e.g., census tract, city, county)",Community and Environmental Conditions,School Climate,Geographical indicator,,General,,"For example, census tract, city, or county",Geographical indicator,Geographical indicator
Indicator of access to desktop or laptop at home,Community and Environmental Conditions,School Climate,Indicator of access to desktop or laptop at home,,General,,,Indicator of access to desktop or laptop at home,Indicator of access to desktop or laptop at home
Indicator of access to reliable broadband internet,Community and Environmental Conditions,School Climate,Indicator of access to reliable broadband internet,,General,,,Indicator of access to reliable broadband internet,Indicator of access to reliable broadband internet
"Low Transportation Cost Index, from the U.S. Department of Housing and Urban Development",Community and Environmental Conditions,Workforce Transitions,Low Transportation Cost Index,,General,,,Low Transportation Cost Index,Low Transportation Cost Index
Number of affordable housing units in city or county,Community and Environmental Conditions,Workforce Transitions,Number of affordable housing units in city or county,,General,,,Number of affordable housing units in city or county,Number of affordable housing units in city or county
Number of city or county residents experiencing poverty,Community and Environmental Conditions,School Climate,Number of city or county residents experiencing poverty,,General,,,Number of city or county residents experiencing poverty,Number of city or county residents experiencing poverty
Number of city or county residents living in a high poverty neighborhood,Community and Environmental Conditions,School Climate,Number of city or county residents living in a high poverty neighborhood,,General,,,Number of city or county residents living in a high poverty neighborhood,Number of city or county residents living in a high poverty neighborhood
Number of households with low income in city or county,Community and Environmental Conditions,School Climate,Number of households with low income in city or county,,General,,,Number of households with low income in city or county,Number of households with low income in city or county
Number of households with very low income in city or county,Community and Environmental Conditions,School Climate,Number of households with very low income in city or county,,General,,,Number of households with very low income in city or county,Number of households with very low income in city or county
Number of juvenile arrests in city or county,Community and Environmental Conditions,School Climate,Number of juvenile arrests in city or county,,General,,,Number of juvenile arrests in city or county,Number of juvenile arrests in city or county
Number of property felonies in city or county,Community and Environmental Conditions,School Climate,Number of property felonies in city or county,,General,,,Number of property felonies in city or county,Number of property felonies in city or county
Number of violent felonies in city or county,Community and Environmental Conditions,School Climate,Number of violent felonies in city or county,,General,,,Number of violent felonies in city or county,Number of violent felonies in city or county
USDA Food Access Research Atlas Access Level Flag,Community and Environmental Conditions,School Climate,USDA Food Access Research Atlas Access Level Flag,,General,,,USDA Food Access Research Atlas Access Level Flag,USDA Food Access Research Atlas Access Level Flag
AP course designation,Course and Curriculum,Postsecondary Transitions,AP course designation,,General,,,AP course designation,AP course designation
AP enrollment,Course and Curriculum,Postsecondary Transitions,AP enrollment,Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
Algebra 1 enrollment,Course and Curriculum,Postsecondary Transitions,Algebra 1 enrollment,Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
CTE course ID or course title,Course and Curriculum,Workforce Transitions,CTE course ID or course title,,General,,,CTE course ID or course title,CTE course ID or course title
CTE course enrollment,Course and Curriculum,Workforce Transitions,CTE course enrollment,Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
CTE pathway or career cluster associated with CTE course,Course and Curriculum,Workforce Transitions,CTE pathway or career cluster associated with CTE course,,General,,,CTE pathway or career cluster associated with CTE course,CTE pathway or career cluster associated with CTE course
CTE program,Course and Curriculum,Workforce Transitions,CTE program,,General,,,CTE program,CTE program
Course ID  - CIP code,Course and Curriculum,Postsecondary Transitions,Course ID - CIP code,Course identifier or title,General,,,Course identifier or title,Course identifier or title
Course ID or course title,Course and Curriculum,Postsecondary Transitions,Course ID or course title,Course identifier or title,General,,,Course identifier or title,Course identifier or title
"Course ID or course title of follow-up courses (Algebra II, Pre-calculus, Geometry, etc)",Course and Curriculum,Postsecondary Transitions,Course prerequisites,Course identifier or title,General,,,Course identifier or title,Course identifier or title
Course department,Course and Curriculum,Postsecondary Transitions,Course department,,General,,,Course department,Course department
Course instructor (or teacher's course assignments),Course and Curriculum,Teaching Effectiveness,Course instructor (or teacher's course assignments),Teaching assignment,General,,,Teaching assignment,Teaching assignment
Dual credit course designation,Course and Curriculum,Postsecondary Transitions,Dual credit course designation,,General,,,Dual credit course designation,Dual credit course designation
Dual credit enrollment,Course and Curriculum,Postsecondary Transitions,Dual credit enrollment,Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
"Early college course enrollment (AP, IB, and dual enrollment)",Course and Curriculum,Postsecondary Transitions,Early college course enrollment (AP; IB; and dual enrollment),Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
Higher-level math enrollment,Course and Curriculum,Postsecondary Transitions,Higher-level math enrollment,Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
IB course designation,Course and Curriculum,Postsecondary Transitions,IB course designation,,General,,,IB course designation,IB course designation
IB enrollment,Course and Curriculum,Postsecondary Transitions,IB enrollment,Student course enrollment record,General,,,Student course enrollment record,Student course enrollment record
"Level(s) at which course is offered (e.g., 9/10/11/12; Fr/So/Jr/Sr)",Course and Curriculum,Postsecondary Transitions,Course offering by grade level,,General,,,Course offering by grade level,Course offering by grade level
Postsecondary major,Course and Curriculum,Postsecondary Success,Postsecondary major,,Postsecondary,Postsecondary,,Postsecondary major,Postsecondary major
Teaching assignment (subject and/or grade level taught),Course and Curriculum,Teaching Effectiveness,Teaching assignment,Teaching assignment,General,,Subject and/or grade level that is taught,Teaching assignment,Teaching assignment
Job title or position type (school leader or administrator),Educator Employment and Retention,Teaching Effectiveness,Job title or position type,,General,,,Job title or position type,Job title or position type
"Job title or position type (teacher or educator, prior and current year)",Educator Employment and Retention,Teaching Effectiveness,Job title or position type,,General,,,Job title or position type,Job title or position type
"Percentage of K-12 teachers with < 1 year, 1–5 years, and 5+ years of experience",Educator Employment and Retention,Teaching Effectiveness,Years of teaching experience,,General,,,Years of teaching experience,Years of teaching experience
Position type (school leader or administrator),Educator Employment and Retention,Teaching Effectiveness,Job title or position type,,General,,,Job title or position type,Job title or position type
School assignment or school ID (prior and current year),Educator Employment and Retention,Teaching Effectiveness,School assignment (prior and current year),,General,,,School assignment (prior and current year),School assignment (prior and current year)
School or program ID (prior and current year),Educator Employment and Retention,Teaching Effectiveness,School assignment (prior and current year),,General,,,School assignment (prior and current year),School assignment (prior and current year)
Staff FTE status,Educator Employment and Retention,Teaching Effectiveness,Staff FTE status,,General,,,Staff FTE status,Staff FTE status
Staff type or role description,Educator Employment and Retention,Teaching Effectiveness,Job title or position type,,General,,,Job title or position type,Job title or position type
Years in current position,Educator Employment and Retention,Teaching Effectiveness,Years in current position,,General,,,Years in current position,Years in current position
Years of teaching experience,Educator Employment and Retention,Teaching Effectiveness,Years of teaching experience,,General,,,Years of teaching experience,Years of teaching experience
Credential or certification type,Educator Qualifications and Credentials,Teaching Effectiveness,Credential or certification type,,General,,,Credential or certification type,Credential or certification type
Highest level of education completed,Educator Qualifications and Credentials,Teaching Effectiveness,Highest level of education completed,,General,,,Highest level of education completed,Highest level of education completed
Position type (lead pre-K teacher status),Educator Qualifications and Credentials,Teaching Effectiveness,Job title or position type,,General,,,Job title or position type,Job title or position type
Results on leader effectiveness assessment,Educator Qualifications and Credentials,Teaching Effectiveness,Leader effectiveness assessments,,General,,,Leader effectiveness assessments,Leader effectiveness assessments
Staff race/ethnicity,Educator Qualifications and Credentials,Teaching Effectiveness,Staff race/ethnicity,,General,,,Staff race/ethnicity,Staff race/ethnicity
Teacher qualification or certification type,Educator Qualifications and Credentials,Teaching Effectiveness,Teacher qualification or certification type,,General,,,Teacher qualification or certification type,Teacher qualification or certification type
Average cost of attendance,Financial Support and Resources,Postsecondary Success,Average cost of attendance,,General,,,Average cost of attendance,Average cost of attendance
Average expected family contribution (EFC),Financial Support and Resources,Postsecondary Success,Average expected family contribution (EFC),,General,,,Average expected family contribution (EFC),Average expected family contribution (EFC)
